"","score","gene_symbol","uniprot"
"231",0.0578392665170981,"BIRC2","Q13490"
"232",0.0577936285395826,"KAT2A","Q92830"
"233",0.0577198053799955,"BLK","P51451"
"234",0.0576822675827547,"XIAP","P98170"
"235",0.0575539601094645,"KCNIP3","Q9Y2W7"
"236",0.057209520453982,"PIAS3","Q9Y6X2"
"237",0.0570024722574194,"VRK1","Q99986"
"238",0.0562220799833599,"HIF1A","Q16665"
"239",0.0558747682455464,"CASP1","P29466"
"240",0.0554328102903788,"TOPBP1","Q92547"
"241",0.0552795725286469,"ATG7","O95352"
"242",0.055249771588158,"TICAM1","Q8IUC6"
"243",0.0552044299163821,"PARP1","P09874"
"244",0.0550730120815731,"CABLES2","Q9BTV7"
"245",0.0550197236594982,"RALGDS","Q12967"
"246",0.0550068666019329,"CCNB1","P14635"
"247",0.0549352442679955,"DVL1","O14640"
"248",0.0547592887594457,"VDR","P11473"
"249",0.0546937334764504,"MYB","P10242"
"250",0.0546370192677903,"HDAC1","Q13547"
"251",0.0542078172343245,"CCNH","P51946"
"252",0.053712294175582,"BCL6","P41182"
"253",0.0530865466762492,"INHBA","P08476"
"254",0.0526956225470359,"TLR10","Q9BXR5"
"255",0.0526424439029695,"FES","P07332"
"256",0.0525223123018843,"DDR1","Q08345"
"257",0.0520980748739775,"XRCC1","P18887"
"258",0.0520753112518506,"ORC1","Q13415"
"259",0.0517835675502578,"BCL2L11","O43521"
"260",0.0516502475233841,"GATA1","P15976"
"261",0.051625159415089,"TLR5","O60602"
"262",0.0515936769623505,"HDAC2","Q92769"
"263",0.0514306964921024,"RPL11","P62913"
"264",0.0511724920080948,"HTT","P42858"
"265",0.0511069181081417,"TLR7","Q9NYK1"
"266",0.0510497458517084,"IER3","P46695"
"267",0.0509771394816074,"CRH","P06850"
"268",0.0509002984548454,"KAT2B","Q92831"
"269",0.0506347362840235,"CDK6","Q00534"
"270",0.0504718761645407,"TNFRSF10B","O14763"
"271",0.0503614828097065,"TLR8","Q9NR97"
"272",0.050282817317102,"NR5A1","Q13285"
"273",0.0502822052661945,"MAP3K12","Q12852"
"274",0.0501546065668806,"MEF2C","Q06413"
"275",0.0499883748094855,"BRD2","P25440"
"276",0.0494500846843248,"NCOR2","Q9Y618"
"277",0.0491256744403611,"DVL3","Q92997"
"278",0.0490253434884299,"SPI1","P17947"
"279",0.0488738706220308,"SNAI2","O43623"
"280",0.0485948550518754,"TLR6","Q9Y2C9"
"281",0.0484593187497055,"SOD2","P04179"
"282",0.0484172502759286,"VCAN","P13611"
"283",0.0483374464669016,"LIMK1","P53667"
"284",0.0482478276742825,"TLR1","Q15399"
"285",0.0478477844513197,"LGALS3","P17931"
"286",0.0473359226172689,"PIAS2","O75928"
"287",0.0473087293091867,"RCHY1","Q96PM5"
"288",0.0471494982845133,"ERCC5","P28715"
"289",0.0466479501342932,"SLK","Q9H2G2"
"290",0.0466466538134325,"HIPK2","Q9H2X6"
"291",0.0464214781598219,"PPP2R5C","Q13362"
"292",0.046319247967348,"CCND1","P24385"
"293",0.0463161643728714,"CASP8","Q14790"
"294",0.0461922463578766,"TLR9","Q9NR96"
"295",0.0460686802133059,"VEGFB","P49765"
"296",0.0459842531547735,"HES1","Q14469"
"297",0.0458735772039605,"WRN","Q14191"
"298",0.0457205107894548,"SNAI1","O95863"
"299",0.0456565735039003,"WASF1","Q92558"
"300",0.0454404933527495,"NCOA3","Q9Y6Q9"
"301",0.0453343498821533,"NCL","P19338"
"302",0.0453036477979045,"LIG1","P18858"
"303",0.0451870535593599,"ESRRA","P11474"
"304",0.0451050415463714,"ATM","Q13315"
"305",0.044953733405967,"SKP2","Q13309"
"306",0.0449066107703538,"PRLR","P16471"
"307",0.0447436385220544,"RIN1","Q13671"
"308",0.0446836755102953,"TP53AIP1","Q9HCN2"
"309",0.0442927682916654,"IRF1","P10914"
"310",0.0437967635173348,"AREG","P15514"
"311",0.0437157312768698,"BIRC5","O15392"
"312",0.0436714698391668,"CDC25A","P30304"
"313",0.0436199052814877,"ANP32A","P39687"
"314",0.0435664652453081,"LAMA4","Q16363"
"315",0.0435664652453081,"LAMA5","O15230"
"316",0.0435664652453081,"LAMC2","Q13753"
"317",0.0435664652453081,"LAMC3","Q9Y6N6"
"318",0.0435664652453081,"LAMB3","Q13751"
"319",0.0435664652453081,"LAMA2","P24043"
